Institution_Year_Key,Institution,Year,n_sentences,n_words,Mean_Tone_Score,Median_Tone_Score,supportive_share,neutral_share,restrictive_share,supportive_per_1000w,restrictive_per_1000w,sanction_per_1000w,second_person_per_1000w,inclusive_we_per_1000w,obligation_modal_share,mean_sentence_length,long_sentence_share,procedural_share,legalese_per_1000w,iptech_per_1000w,madey2002_per_1000w,roche2011_per_1000w,Tone_Index,Clarity_Index,Legal_Load_Index
Albert Einstein/Yeshiva || 1985,Albert Einstein/Yeshiva,1985,49,2091,0.33043059434183675,0.28108880300000005,0.16326530612244897,0.30612244897959184,0.5306122448979592,3.3476805356288857,17.21664275466284,0.0,0.0,0.0,0.8529411764705882,42.673469387755105,0.5306122448979592,0.1836734693877551,1.4347202295552368,58.8235294117647,0.0,0.9564801530368245,-0.2964584674460446,-0.24993670746417573,1.0304266847251093
Albert Einstein/Yeshiva || 2015,Albert Einstein/Yeshiva,2015,77,2472,0.3949666996428572,0.455774045,0.23376623376623376,0.2987012987012987,0.4675324675324675,2.8317152103559873,22.249190938511326,0.0,0.0,0.0,0.898876404494382,32.103896103896105,0.4025974025974026,0.15584415584415584,2.4271844660194173,50.970873786407765,0.0,2.0226537216828477,-0.5420313956748073,0.3840463029943357,1.1492573001596065
Albert Einstein/Yeshiva || 2018,Albert Einstein/Yeshiva,2018,81,2979,0.37936325488271605,0.455774045,0.2345679012345679,0.2839506172839506,0.48148148148148145,2.3497818059751596,20.476670023497817,0.3356831151393085,0.0,0.0,0.8958333333333334,36.77777777777778,0.48148148148148145,0.18518518518518517,1.342732460557234,43.3031218529708,0.3356831151393085,1.6784155756965424,-0.6695733271007057,0.13062279178168526,0.47709046537392646
Arizona State University || 2001,Arizona State University,2001,41,1646,0.46328336728048775,0.496109105,0.12195121951219512,0.6829268292682927,0.1951219512195122,1.215066828675577,1.215066828675577,0.0,0.0,6.075334143377886,0.5,40.146341463414636,0.4878048780487805,0.12195121951219512,0.0,34.629404617253954,0.0,0.0,1.204619555550831,-0.342163207583918,-0.32778684627421484
Arizona State University || 2003,Arizona State University,2003,55,1819,0.4672210503181818,0.49593759200000004,0.09090909090909091,0.7454545454545455,0.16363636363636364,1.6492578339747115,1.0995052226498077,0.0,0.5497526113249038,7.146783947223749,0.4444444444444444,33.07272727272727,0.4,0.14545454545454545,0.0,32.985156679494224,0.0,0.0,1.509975677444417,0.298691540895033,-0.3826673884237639
Arizona State University || 2007,Arizona State University,2007,86,2439,0.4563980838023256,0.49484472325,0.08139534883720931,0.7209302325581395,0.19767441860465115,2.050020500205002,2.050020500205002,1.2300123001230012,0.0,5.740057400574006,0.6,28.36046511627907,0.23255813953488372,0.18604651162790697,0.4100041000410004,28.700287002870027,1.2300123001230012,0.0,0.5513445052473448,1.136049670875287,-0.36831556722293146
Arizona State University || 2018,Arizona State University,2018,89,3872,0.32285154121292137,0.344520215,0.11235955056179775,0.3595505617977528,0.5280898876404494,1.8078512396694215,10.847107438016529,0.2582644628099174,0.0,0.0,0.5934065934065934,43.50561797752809,0.5617977528089888,0.14606741573033707,1.2913223140495869,17.303719008264466,0.0,4.9070247933884295,-0.021703143571858152,-0.5544787242645929,-0.4104315899879045
Arizona State University || 2025,Arizona State University,2025,110,3820,0.3717454720590909,0.460908555,0.08181818181818182,0.5818181818181818,0.33636363636363636,3.4031413612565444,11.518324607329843,0.26178010471204194,0.0,0.0,0.6068376068376068,34.72727272727273,0.4090909090909091,0.20909090909090908,1.0471204188481678,5.7591623036649215,0.0,2.617801047120419,0.06852131877996163,0.5250220381466553,-0.8894880198514561
Auburn University || 2012,Auburn University,2012,82,2737,0.4624635068932927,0.4951153715,0.25609756097560976,0.4024390243902439,0.34146341463414637,2.192181220314213,9.864815491413957,0.7307270734380709,0.36536353671903543,0.0,0.5306122448979592,33.3780487804878,0.4878048780487805,0.17073170731707318,1.826817683595177,39.45926196565583,0.36536353671903543,5.845816587504567,-0.04529878869638989,0.18248946713572659,0.5345960665447146
Ball State University || 2008,Ball State University,2008,39,820,0.49222795953205134,0.497820126,0.1282051282051282,0.7435897435897436,0.1282051282051282,0.0,4.878048780487805,0.0,0.0,0.0,0.5384615384615384,21.025641025641026,0.15384615384615385,0.1794871794871795,0.0,30.48780487804878,0.0,2.4390243902439024,0.18695998966661528,1.613336040251811,-0.46602222661697235
Ball State University || 2013,Ball State University,2013,282,10231,0.4275263259751773,0.48709408,0.2198581560283688,0.3617021276595745,0.41843971631205673,2.2480695924152085,9.285504838236731,0.2932264685758968,0.0,0.0,0.5307017543859649,36.280141843971634,0.4858156028368794,0.13829787234042554,1.466132342879484,29.127162545205746,0.2932264685758968,5.278076434366143,0.12234986207614766,-0.09493771365638622,0.0512991054267534
